OWNER;TABLE_NAME;TABLE_TYPE;COMMENTS;ORIGIN_CON_ID;NUM_ROWS;ID;
COSWIN;ACT_CATG;TABLE;The act_catg class encapsulates data and behaviour of action kind business object.;0;25;1;
COSWIN;ACT_PRD;TABLE;"The act_prd class stores the periodicity for jobs (and for actions). There  are 3 types of periodicity:
- time based (a number of time unit (day, week))
- meter based (a number of meter unit)
- time and meter based (both above).";0;0;2;
COSWIN;ADOPTED_PATTERN;TABLE;;0;2;3;
COSWIN;AD_ADDRESS;TABLE;;0;270;4;
COSWIN;AD_CONTACT;TABLE;;0;370;5;
COSWIN;ALT_ITEMS;TABLE;This table keeps links between alternate items.;0;302;6;
COSWIN;AN_TIME;TABLE;The AN_TIME class encapsulates analysis information for a given cost type in the year.;0;6051720;7;
COSWIN;ASSIGNED_EMPL;TABLE;;0;0;8;
COSWIN;ASSIGNED_SHIFT;TABLE;;0;0;9;
COSWIN;ASSIGNMENT;TABLE;;0;0;10;
COSWIN;ATTENDANCE_INTRF;TABLE;;0;0;11;
COSWIN;AUDIT_ALT_ITEMS;TABLE;;0;860;12;
COSWIN;AUDIT_BATCH_;TABLE;;0;545273;13;
COSWIN;AUDIT_COUNT_;TABLE;;0;1844;14;
COSWIN;AUDIT_DEM_ISS;TABLE;;0;207405;15;
COSWIN;AUDIT_DEM_ITEMS;TABLE;;0;408421;16;
COSWIN;AUDIT_DEVIS;TABLE;;0;565131;17;
COSWIN;AUDIT_DV_ITEMS;TABLE;;0;929249;18;
COSWIN;AUDIT_DV_RMK;TABLE;;0;0;19;
COSWIN;AUDIT_EQP_ACT;TABLE;;0;0;20;
COSWIN;AUDIT_EQP_DEFR;TABLE;;0;183148;21;
COSWIN;AUDIT_EQP_GROUP;TABLE;;0;393539;22;
COSWIN;AUDIT_EQP_JOBR;TABLE;;0;24543582;23;
COSWIN;AUDIT_EQP_JOBS;TABLE;;0;1285477;24;
COSWIN;AUDIT_EQP_MOVE;TABLE;;0;226330;25;
COSWIN;AUDIT_EQP_RES;TABLE;;0;0;26;
COSWIN;AUDIT_EQP_SRL;TABLE;;0;39639;27;
COSWIN;AUDIT_EQP_STOCK;TABLE;;0;0;28;
COSWIN;AUDIT_EQP_TOPO;TABLE;;0;634979;29;
COSWIN;AUDIT_HIS_HO;TABLE;;0;619349;30;
COSWIN;AUDIT_INVOICE_;TABLE;;0;241162;31;
COSWIN;AUDIT_INV_ITEMS;TABLE;;0;110297;32;
COSWIN;AUDIT_INV_RMK;TABLE;;0;0;33;
COSWIN;AUDIT_ISS_ITEMS;TABLE;;0;131225;34;
COSWIN;AUDIT_ITEM_;TABLE;;0;4763203;35;
COSWIN;AUDIT_ITEM_RMK;TABLE;;0;0;36;
COSWIN;AUDIT_JOB_ACTN;TABLE;;0;14738;37;
COSWIN;AUDIT_JOB_ACTV;TABLE;;0;0;38;
COSWIN;AUDIT_JOB_CATG_INT;TABLE;;0;65362;39;
COSWIN;AUDIT_JOB_DIR;TABLE;;0;78727;40;
COSWIN;AUDIT_JOB_MANR;TABLE;;0;0;41;
COSWIN;AUDIT_JOB_STOKR;TABLE;;0;51238;42;
COSWIN;AUDIT_LINKED_JOBS;TABLE;;0;0;43;
COSWIN;AUDIT_NEG_INV;TABLE;;0;1232;44;
COSWIN;AUDIT_NEG_INV_CC;TABLE;;0;617;45;
COSWIN;AUDIT_PARENT_EQP;TABLE;;0;0;46;
COSWIN;AUDIT_PLAN_ID;TABLE;;0;376739;47;
COSWIN;AUDIT_PLAN_JOBS;TABLE;;0;6312454;48;
COSWIN;AUDIT_PORDER_;TABLE;;0;424384;49;
COSWIN;AUDIT_PO_ITEMS;TABLE;;0;357996;50;
COSWIN;AUDIT_PO_RMK;TABLE;;0;0;51;
COSWIN;AUDIT_PREQUEST;TABLE;;0;369856;52;
COSWIN;AUDIT_PR_ITEMS;TABLE;;0;473181;53;
COSWIN;AUDIT_PR_RMK;TABLE;;0;0;54;
COSWIN;AUDIT_RCT_ITEMS;TABLE;;0;283001;55;
COSWIN;AUDIT_RCT_RMK;TABLE;;0;0;56;
COSWIN;AUDIT_RECEIPT_;TABLE;;0;300768;57;
COSWIN;AUDIT_RECONCILE_INV;TABLE;;0;0;58;
COSWIN;AUDIT_STK_ADJ;TABLE;;0;8390;59;
COSWIN;AUDIT_STORES_ITEMS;TABLE;;0;435840;60;
COSWIN;AUDIT_SUPL_ITEMS;TABLE;;0;472445;61;
COSWIN;AUDIT_SUPL_RMK;TABLE;;0;0;62;
COSWIN;AUDIT_SUPPLIER_;TABLE;;0;134589;63;
COSWIN;AUDIT_TRANSFER_;TABLE;;0;40607;64;
COSWIN;AUDIT_TR_ITEMS;TABLE;;0;40526;65;
COSWIN;AUDIT_WIP_WA;TABLE;;0;1076139;66;
COSWIN;AUDIT_WIP_WE;TABLE;;0;2075806;67;
COSWIN;AUDIT_WIP_WN;TABLE;;0;0;68;
COSWIN;AUDIT_WIP_WO;TABLE;;0;5090624;69;
COSWIN;AUDIT_WIP_WS;TABLE;;0;193057;70;
COSWIN;AUDIT_WIP_WT;TABLE;;0;2262213;71;
COSWIN;BATCH_;TABLE;This table encasulates data concerning item batches.;0;28358;72;
COSWIN;BC_COST;TABLE;Holds the funds allocated to a budget.;0;0;73;
COSWIN;BINS;TABLE;Encapsulates bin business objects data and behaviour;0;5098;74;
COSWIN;BUD_VAL;TABLE;Holds the budget value for each month of a given year;0;0;75;
COSWIN;CC_LYMON_VAL;TABLE;Holds monthly consumption values for the previous year for the costcentre.;0;4128;76;
COSWIN;CC_PER;TABLE;Holds the consumption, invoiced, budget and receipt values for a given accounting period.;0;1720;77;
COSWIN;CC_PER_VAL;TABLE;Holds ordered, invoiced, credit notes monthly values for three years for each costcentre.;0;12384;78;
COSWIN;CC_TYMON_VAL;TABLE;Holds monthly consumption values for the current year for the costcentre.;0;4128;79;
COSWIN;CL_DATA;TABLE;;0;9150;80;
COSWIN;CN_INVOICE;TABLE;;0;1;81;
COSWIN;COH_ENTITY;TABLE;;0;130;82;
COSWIN;COH_TYPE;TABLE;;0;6;83;
COSWIN;COMPANY;TABLE;The supplier that acts as the company. Used as supplier for automatically generated receipts of damaged repairable items.;0;1;84;
COSWIN;CONT_INV;TABLE;This class maintains the information for the contract invoice.;0;0;85;
COSWIN;CON_BG_COST;TABLE;Holds labour, material and miscellaneous costs for a contract, detailed by planned, unplanned and other types.;0;0;86;
COSWIN;COSTCENTRE_;TABLE;Encapsulates costcentre business objects data and behaviour;0;344;87;
COSWIN;COUNTRY_;TABLE;The Country class encapsulates data of country and currency business object.;0;26;88;
COSWIN;COUNT_;TABLE;This class encapsulates the data and the behaviour of stock count business object.;0;3038;89;
COSWIN;COUNT_INTRF;TABLE;;0;1409;90;
COSWIN;CRNCY_CONV;TABLE;The crncy_conv class encapsulates data and behaviour of conversions business object.;0;26;91;
COSWIN;DAILY_SHIFT;TABLE;;0;42;92;
COSWIN;DEL_SCHED;TABLE;Encapsulates data and behaviour for delivery schedule for purchase order items.;0;81937;93;
COSWIN;DEMAND_ISSUE_INTRF;TABLE;;0;1000;94;
COSWIN;DEMAND_ISSUE_ITEM_INTRF;TABLE;;0;85702;95;
COSWIN;DEM_ISS;TABLE;Encapsulates issue and demand business objects common data and behaviour.;0;74690;96;
COSWIN;DEM_ITEMS;TABLE;Encapsulates demand item business object data and behaviour.;0;150513;97;
COSWIN;DEM_LOC_INT;TABLE;Encapsulates demand item to location business object data and behaviour.;0;289240;98;
COSWIN;DEVIS;TABLE;This class encapsulates the data and the behaviour of devis business objects.;0;163799;99;
COSWIN;DIR_ACTION;TABLE;The dir_action class encapsulates data and behaviour of base action business object.;0;1169;100;
COSWIN;DIR_BUDG;TABLE;The dir_budg class encapsulates data and behaviour of COSWIN budgets.;0;0;101;
COSWIN;DIR_CATG;TABLE;Encapsulates category business object data and behaviour.;0;71;102;
COSWIN;DIR_CCBC;TABLE;Encapsulates data and behaviour for the intersection between costcentres and budgets.;0;0;103;
COSWIN;DIR_DEFD;TABLE;The codification class contains data and common behaviour to all codes used in COSWIN, i.e., symptoms, defects, causes, actions, to do and to do not.;0;10427;104;
COSWIN;DIR_INV_PO;TABLE;;0;72995;105;
COSWIN;DIR_JBCL;TABLE;The dir_jbcl table encapsulates data and behaviour of job class business object. All job classes must be defined in parameters.;0;2;106;
COSWIN;DIR_JBTY;TABLE;The dir_jbty table encapsulates data and behaviour of job type business object. All job types must be defined in parameters and, once an equipment job is attached to a type, it inherits the behaviour and the priority.;0;28;107;
COSWIN;DIR_MANF;TABLE; Contains data about the manufacturers fo the equipment in use.;0;220;108;
COSWIN;DIR_METER;TABLE;The dir_meter table encapsulates data and behaviour of meter business object.;0;46544;109;
COSWIN;DIR_MREAD;TABLE;The dir_mread class encapsulates data and behaviour of meter reading business object.;0;84716;110;
COSWIN;DIR_MSET;TABLE;This class keeps the directory definitions for the measurement set.;0;0;111;
COSWIN;DIR_NORM;TABLE;Keeps the definition of the measurement norms directory.;0;0;112;
COSWIN;DIR_RCT_PO;TABLE;;0;78218;113;
COSWIN;DIR_STOCK;TABLE;Encapsulates data and behaviour of spare/tools business object.;0;4982;114;
COSWIN;DIR_SUBC;TABLE;Keeps the information for a subcontractor.;0;1;115;
COSWIN;DIR_SUPP;TABLE; Maintains data refering to the suppliers for the equipment.;0;152;116;
COSWIN;DIR_UNIT;TABLE;This class describes the functionality of the function business class;0;743;117;
COSWIN;DIR_WOST;TABLE;Holds the user-defined work order states.;0;9;118;
COSWIN;DIR_ZONE;TABLE;Describes the functionality of the zone business class.;0;357;119;
COSWIN;DOS_RMK;TABLE;;0;2;120;
COSWIN;DV_CC_INT;TABLE;This class encapsulates the data and the behaviour of quotation item to costcentre business objects.;0;301759;121;
COSWIN;DV_ITEMS;TABLE;This class encapsulates the data and the behaviour of quotation item business objects.;0;297394;122;
COSWIN;DV_ITEM_OTHER;TABLE;Additional charges for a Purchase Quotation Item;0;1486970;123;
COSWIN;DV_OTHER;TABLE;Additional charges for a Purchase Quotation;0;818995;124;
COSWIN;DV_RMK;TABLE;;0;222943;125;
COSWIN;EARL;TABLE;;0;218732;126;
COSWIN;EMPLOYEE_ACTIONS_INTRF;TABLE;;0;413;127;
COSWIN;EMPLOYEE_FEEDBACK_INTRF;TABLE;;0;3730;128;
COSWIN;EMPL_SHIFT;TABLE;;0;56;129;
COSWIN;EMP_SKILL;TABLE;;0;237;130;
COSWIN;EQP_ACT;TABLE;Manages Actions in PMP Data module.;0;0;131;
COSWIN;EQP_ANAL;TABLE;The EQP_ANAL class encapsulates data of an analyzed year. For one analyzed year, only one foreign key should be not null (only one object is analyzed).;0;1008620;132;
COSWIN;EQP_BACKUP;TABLE;;0;3;133;
COSWIN;EQP_CLDR;TABLE;;0;25;134;
COSWIN;EQP_CLD_VAL;TABLE;Holds resource usage calendar information by day.;0;0;135;
COSWIN;EQP_CONT;TABLE;Encapsulates Contract business object data and behaviour.;0;0;136;
COSWIN;EQP_DEFR;TABLE;The eqp_defr class encapsulates data and behaviour from diagnosis business object;0;234730;137;
COSWIN;EQP_DOS;TABLE;Encapsulates 'to do' and 'to do not' business object data and behaviour.;0;0;138;
COSWIN;EQP_DRAW;TABLE;Encapsulates equipment manuals and drawings business object data and behaviour.;0;0;139;
COSWIN;EQP_GROUP;TABLE;Equipment attached to the group.;0;133283;140;
COSWIN;EQP_HEAD;TABLE;This class will keep only the specification classes definition. Equipments will have their own specification classes, based on this class, but containing only attributes values.;0;7;141;
COSWIN;EQP_JOBR;TABLE;Maintains the user Job Request informations.;0;430158;142;
COSWIN;EQP_JOBR_NEW;TABLE;;0;49657;143;
COSWIN;EQP_JOBS;TABLE;The EquipmentJob class encapsulates data and behaviour of equipment job business object.;0;103413;144;
COSWIN;EQP_METER;TABLE;;0;21727;145;
COSWIN;EQP_MOVE;TABLE;The class of equipment movements. A default movement is added at the creation of a new equipment.;0;485624;146;
COSWIN;EQP_MSET;TABLE;Keeps the data about the measurement set attached to an equipment.;0;0;147;
COSWIN;EQP_NOTE;TABLE;Keeps the SpecificationClasses defined for an equipment technical specifications.;0;7148;148;
COSWIN;EQP_PODP;TABLE;Encapsulates equipment depreciation and equipment purchasing business object data and behaviour.;0;19799;149;
COSWIN;EQP_RES;TABLE;The eqp_res class encapsulates data and behaviour of resource requirement business object.;0;0;150;
COSWIN;EQP_SPARE;TABLE;The EquipmentSpare table is used to define the list of minimum spare requirements for an equipment.;0;15493;151;
COSWIN;EQP_SRL;TABLE; Keeps the list of the item serial number used for this equipment;0;127175;152;
COSWIN;EQP_STATUS;TABLE;The EquipmentStatus class encapsulates data and behaviour of equipment status business object.;0;0;153;
COSWIN;EQP_STOCK;TABLE;The eqp_stock class encapsulates data and behaviour of stock requirement business object.;0;0;154;
COSWIN;EQP_TECH;TABLE;This class encapsulates the data and the behaviour of equipment technical specifications business object.;0;136926;155;
COSWIN;EQP_TOPO;TABLE;This is the class used in almost all modules linked with equipment. It keeps all the functionalities common to equipment and group equipment.;0;250711;156;
COSWIN;EQUIPMENT_DEFECT_INTRF;TABLE;;0;6;157;
COSWIN;EQV_SPEC;TABLE;The SpecialityEquivalence class encapsulates data and behaviour of equivalence for speciality business object.;;;;
;"The purpose of this class is to mantain the equivalence between a speciality code from the ASCII file and one or two resource codes from the database. The number of resources required must be also specified.""";0;0;158;;;
COSWIN;ERROR_INTRF;TABLE;;0;129;159;
COSWIN;EXT_MODULE;TABLE;;0;569;160;
COSWIN;FK_WORK_PERMIT;TABLE;;0;0;161;
COSWIN;FM_FACILITY;TABLE;;0;65;162;
COSWIN;FM_INSTANCE;TABLE;;0;130;163;
COSWIN;FM_REQUIREMENT;TABLE;;0;0;164;
COSWIN;FM_USAGE;TABLE;;0;0;165;
COSWIN;FOLLOW_UP;TABLE;;0;0;166;
COSWIN;FREE_TBL1;TABLE;;0;13;167;
COSWIN;FREE_TBL2;TABLE;;0;0;168;
COSWIN;FREE_TBL3;TABLE;;0;0;169;
COSWIN;FREE_TBL4;TABLE;;0;0;170;
COSWIN;FREE_TBL5;TABLE;;0;143;171;
COSWIN;FREE_TBL6;TABLE;;0;87921;172;
COSWIN;GEN_ACCESS;TABLE;;0;0;173;
COSWIN;GEN_ACTN;TABLE;Action which can be used for TempJob generation.;0;0;174;
COSWIN;GEN_ADDR;TABLE;;0;746;175;
COSWIN;GEN_HEAD;TABLE;This class is used to store temporary file name and description for generation of temporary jobs (which finally become PMP jobs). The temporary file must not exist already.;0;0;176;
COSWIN;GEN_JOBS;TABLE;;0;0;177;
COSWIN;GROUP_JBTY;TABLE;;0;0;178;
COSWIN;GROUP_PTD;TABLE;Keeps cumulative values, by accounting period, for each item group.;0;685;179;
COSWIN;GROUP_USERS;TABLE;Holds the groups of users defined in COSWIN.;0;122;180;
COSWIN;GROUP_WMDB;TABLE;Holds the Resource Editor schema associated to a group of users.;0;115;181;
COSWIN;GROUP_WOSTU;TABLE;;0;14;182;
COSWIN;GRP_CRIT;TABLE;The grp_crit class encapsulates data and behaviour of action group business object.;0;0;183;
COSWIN;GRP_QUERY;TABLE;;0;0;184;
COSWIN;GRP_RIGHTS;TABLE;Keep the rights for modules functionalities for each group of users.;0;24400;185;
COSWIN;HAZARD_EFFECT;TABLE;;0;0;186;
COSWIN;HAZARD_REPORT;TABLE;;0;0;187;
COSWIN;HAZARD_TYPE;TABLE;;0;0;188;
COSWIN;HE_DET;TABLE;This class will keep data about the daily activity of an employee engaged in a work order execution.;0;572699;189;
COSWIN;HIST_ACT;TABLE;Action in the history of a PMP job.;0;0;190;
COSWIN;HIST_JOBS;TABLE;This class keeps the details of the archived versions of PmpJob.;;;;
;"Almost all informations will be copied from Work Order Module at the archiving time.""";0;0;191;;;
COSWIN;HIST_RES;TABLE;Human Resources (skills) required by the HistoryPmpAction.;0;0;192;
COSWIN;HIST_STOCK;TABLE;Stock requirements for the HistoryPmpAction. This class will keep the items and quantities used for a specific HistoryPmpAction.;0;0;193;
COSWIN;HIS_AE;TABLE;This class keeps the details of the actions defined for the archived Work Orders.;;;;
;"Almost all informations will be copied from ActionFeedback at the archiving time.""";0;16855;194;;;
COSWIN;HIS_FM_FACILITY;TABLE;;0;9;195;
COSWIN;HIS_HA;TABLE;Actions defined for the work order.;0;261783;196;
COSWIN;HIS_HD;TABLE;This class will keep the encountered diagnosis for a specific work order. A diagnose means one or more of the following codes: symptom, defect, cause and action.;0;63274;197;
COSWIN;HIS_HE;TABLE;History Employee usage class. This class will keep the manpower usage for the history work order.;0;459586;198;
COSWIN;HIS_HN;TABLE;;0;239310;199;
COSWIN;HIS_HO;TABLE;This class keeps the details of the archived Work Orders.;;;;
;"Almost all informations will be copied from Work Order Module at the archiving time.""";0;267389;200;;;
COSWIN;HIS_HO_EMPL;TABLE;;0;0;201;
COSWIN;HIS_HS;TABLE;Stock requirements for the work order. This class will keep the items and quantities used for a specific work order.;0;30135;202;
COSWIN;HIS_HT;TABLE;Human Resources (skills) required by the work order.;0;305519;203;
COSWIN;H_CN_INVOICE;TABLE;;0;0;204;
COSWIN;H_COUNT;TABLE;;0;0;205;
COSWIN;H_COUNT_ITEM;TABLE;;0;0;206;
COSWIN;H_DEL_SCHED;TABLE;;0;0;207;
COSWIN;H_DEM_ISS;TABLE;;0;65;208;
COSWIN;H_DEM_LOC_INT;TABLE;;0;64;209;
COSWIN;H_DEVIS;TABLE;;0;389;210;
COSWIN;H_DIR_INV_PO;TABLE;;0;0;211;
COSWIN;H_DIR_RCT_PO;TABLE;;0;0;212;
COSWIN;H_DV_ITEMS;TABLE;;0;877;213;
COSWIN;H_INVOICE;TABLE;;0;0;214;
COSWIN;H_INV_ITEMS;TABLE;;0;0;215;
COSWIN;H_ISS_ITEMS;TABLE;;0;66;216;
COSWIN;H_ITEM;TABLE;;0;2975;217;
COSWIN;H_ITEM_RMK;TABLE;;0;418;218;
COSWIN;H_NEG_INV;TABLE;;0;0;219;
COSWIN;H_PORDER;TABLE;;0;0;220;
COSWIN;H_PO_ITEMS;TABLE;;0;0;221;
COSWIN;H_PREQUEST;TABLE;;0;194;222;
COSWIN;H_PR_ITEMS;TABLE;;0;386;223;
COSWIN;H_RCT_ITEMS;TABLE;;0;2762;224;
COSWIN;H_RCT_LOC_INT;TABLE;;0;1126;225;
COSWIN;H_RECEIPT;TABLE;;0;109;226;
COSWIN;H_RECONCILE_INV;TABLE;;0;0;227;
COSWIN;H_REMARK_HDR;TABLE;;0;5950;228;
COSWIN;H_SUPPL_AGREE;TABLE;;0;0;229;
COSWIN;H_SUPPL_AGREE_RMK;TABLE;;0;0;230;
COSWIN;H_SUP_AGREE_ITEM;TABLE;;0;0;231;
COSWIN;H_TRANSFER;TABLE;;0;2826;232;
COSWIN;H_TR_ITEMS;TABLE;;0;0;233;
COSWIN;INCIDENT_ACTION;TABLE;;0;0;234;
COSWIN;INCIDENT_CAUSE;TABLE;;0;0;235;
COSWIN;INCIDENT_EFFECT;TABLE;;0;0;236;
COSWIN;INDMATCH;TABLE;;0;1202;237;
COSWIN;IND_QUERY;TABLE;;0;0;238;
COSWIN;IND_VALUES;TABLE;;0;0;239;
COSWIN;INVOICE_;TABLE;;0;72995;240;
COSWIN;INVOICE_CHARGES_INTRF;TABLE;;0;930;241;
COSWIN;INVOICE_INTRF;TABLE;;0;213;242;
COSWIN;INVOICE_ITEM_INTRF;TABLE;;0;249;243;
COSWIN;INVOICE_ORDER_INTRF;TABLE;;0;186;244;
COSWIN;INVOICE_REMARKS_INTRF;TABLE;;0;118;245;
COSWIN;INV_CC_INT;TABLE;This class encapsulates data and behaviour of the invoice item to costcentre business object.;0;99195;246;
COSWIN;INV_ITEMS;TABLE;This class encapsulates data and behaviour of the invoice item business object.;0;98301;247;
COSWIN;INV_ITEM_OTHER;TABLE;Additional charges for a Purchase Invoice Item;0;491505;248;
COSWIN;INV_IT_CHARGES_INTRF;TABLE;;0;1245;249;
COSWIN;INV_IT_COST_CENTER_INTRF;TABLE;;0;249;250;
COSWIN;INV_OTHER;TABLE;Additional charges for a Purchase Invoice;0;364975;251;
COSWIN;INV_RCT;TABLE;Intersection table between receipt item locations and invoice items.;0;1;252;
COSWIN;INV_RMK;TABLE;;0;49733;253;
COSWIN;ISS_ITEMS;TABLE;This class encapsulates data and behaviour of the issue item business object.;0;138722;254;
COSWIN;ITEM_;TABLE;;0;22630;255;
COSWIN;ITEM_GROUP;TABLE;This class describes the behaviour of the item group business objects.;0;137;256;
COSWIN;ITEM_INFO;TABLE;;0;51595;257;
COSWIN;ITEM_PTD;TABLE;;0;257975;258;
COSWIN;ITEM_RMK;TABLE;;0;28640;259;
