ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1341;DB2_0001_Check_Connection;1041;LENOVO-YOGA;COSWIN;"SERVER_HOST=localhost; INSTANCE_NAME=MMS1; DB_NAME=MMS1; SCHEMA=COSWIN";2024-12-19-23.45.43.449000
1342;DB2_0001_Check_Connection;1042;SSIS03;COSWIN;"SERVER_HOST=localhost; INSTANCE_NAME=MMS1; DB_NAME=MMS1; SCHEMA=COSWIN";2024-12-20-00.46.08.493000
1453;DB2_0001_Check_Connection;1086;SSIS01;COSWIN;"SERVER_HOST=localhost; INSTANCE_NAME=MMS1; DB_NAME=MMS1; SCHEMA=COSWIN";2024-12-20-01.51.02.663000
1343;DB2_0003_Master_Locations_CLEAN;1043;FM_FACILITY;MIGRATED;CNT=65;2024-12-20-00.49.04.766000
1344;DB2_0003_Master_Locations_CLEAN;1043;STORES;MIGRATED;CNT=55;2024-12-20-00.49.07.702000
1345;DB2_0003_Master_Locations_CLEAN;1043;FILE;MIGRATED;CNT=228;2024-12-20-00.49.11.405000
1346;DB2_0005_Master_Classification_ClassStructure_CLEA;1044;CLASSIFICATION;MIGRATED;CNT=1;2024-12-20-00.49.21.454000
1347;DB2_0005_Master_Classification_ClassStructure_CLEA;1044;CLASSSTRUCTURE;MIGRATED;CNT=1;2024-12-20-00.49.23.608000
1348;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1045;ITEM;MIGRATED;CNT=22206;2024-12-20-00.49.54.250000
1350;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1045;NSITEM;MIGRATED;CNT=39616;2024-12-20-00.50.41.998000
1354;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1045;DIR_STOCK;MIGRATED;CNT=1685;2024-12-20-00.51.11.395000
1355;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1045;KIT;MIGRATED;CNT=0;2024-12-20-00.51.16.983000
1357;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1045;FILE;MIGRATED;CNT=3;2024-12-20-00.51.24.176000
1399;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1064;ITEM;MIGRATED;CNT=22206;2024-12-20-01.01.39.903000
1400;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1064;NSITEM;MIGRATED;CNT=39616;2024-12-20-01.02.23.842000
1401;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1064;DIR_STOCK;MIGRATED;CNT=1685;2024-12-20-01.02.49.297000
1402;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1064;KIT;MIGRATED;CNT=0;2024-12-20-01.02.54.797000
1403;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1064;FILE;MIGRATED;CNT=3;2024-12-20-01.03.02.929000
1404;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1065;ITEM;MIGRATED;CNT=22206;2024-12-20-00.05.32.419000
1405;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1065;NSITEM;MIGRATED;CNT=39616;2024-12-20-00.06.44.426000
1406;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1065;DIR_STOCK;MIGRATED;CNT=1685;2024-12-20-00.07.26.542000
1407;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1065;KIT;MIGRATED;CNT=0;2024-12-20-00.07.36.197000
1408;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1068;ITEM;MIGRATED;CNT=22206;2024-12-20-01.34.47.497000
1409;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1068;NSITEM;MIGRATED;CNT=39616;2024-12-20-01.35.32.737000
1410;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1068;DIR_STOCK;MIGRATED;CNT=1685;2024-12-20-01.35.59.862000
1411;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1068;KIT;MIGRATED;CNT=0;2024-12-20-01.36.05.689000
1443;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1081;FILE;MIGRATED;CNT=3;2024-12-20-00.48.16.881000
1454;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1088;FILE;MIGRATED;CNT=3;2024-12-20-00.56.42.023000
1455;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1089;FILE;MIGRATED;CNT=3;2024-12-20-00.59.13.705000
1456;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1090;FILE;MIGRATED;CNT=3;2024-12-20-01.00.51.043000
1458;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1091;FILE;MIGRATED;CNT=3;2024-12-20-01.02.53.484000
1460;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1092;FILE;MIGRATED;CNT=3;2024-12-20-01.04.54.146000
1462;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1094;FILE;MIGRATED;CNT=3;2024-12-20-01.08.40.590000
1463;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1095;FILE;MIGRATED;CNT=3;2024-12-20-01.12.58.586000
1464;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1097;FILE;MIGRATED;CNT=3;2024-12-20-01.15.56.740000
1465;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1098;FILE;MIGRATED;CNT=3;2024-12-20-01.18.12.657000
1468;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1099;FILE;MIGRATED;CNT=3;2024-12-20-01.21.24.313000
1471;DB2_0006_Master_Item_ItemOrgInfo_CLEAN;1100;FILE;MIGRATED;CNT=3;2024-12-20-01.27.08.748000
1412;DB2_0007_Master_ItemStruct_CLEAN;1070;KIT;MIGRATED;CNT=0;2024-12-20-01.40.15.359000
1413;DB2_0007_Master_ItemStruct_CLEAN;1070;KIT_ITEMS;MIGRATED;CNT=0;2024-12-20-01.40.21.984000
1414;DB2_0008_Master_AltItem_CLEAN;1071;ALTITEM;MIGRATED;CNT=246;2024-12-20-01.40.27.749000
1415;DB2_0010_Master_AssetAttribute_ClassSpec_ClassSpec;1073;ASSETATTRIBUTE;MIGRATED;CNT=18;2024-12-20-01.40.43.363000
1416;DB2_0011_Master_Routes_CLEAN;1074;LOG;ROUTE-MAINTENTITY-NOMATCH;CNT= 25;2024-12-20-01.40.52.752000
1417;DB2_0011_Master_Routes_CLEAN;1074;ROUTES;MIGRATED;CNT=9086;2024-12-20-01.40.52.942000
1418;DB2_0012_Master_GLComponents_CLEAN;1075;DEPT (FILE);MIGRATED;CNT=20;2024-12-20-01.41.16.660000
1419;DB2_0012_Master_GLComponents_CLEAN;1075;COSTCENTER (FILE);MIGRATED;CNT=143;2024-12-20-01.41.18.837000
1420;DB2_0012_Master_GLComponents_CLEAN;1075;COSTCENTER (COSTCENTER);MIGRATED;CNT=213;2024-12-20-01.41.21.642000
1421;DB2_0012_Master_GLComponents_CLEAN;1075;COSTCENTER (OTHERS);MIGRATED;CNT=0;2024-12-20-01.41.25.129000
1422;DB2_0012_Master_GLComponents_CLEAN;1075;SAPGL (FILE);MIGRATED;CNT=142;2024-12-20-01.41.29.502000
1423;DB2_0012_Master_GLComponents_CLEAN;1075;SAPGL (OTHERS);MIGRATED;CNT=54;2024-12-20-01.41.32.933000
1424;DB2_0013_Master_ChartOfAccounts_CLEAN;1076;AUTHORITY;MIGRATED;CNT=481;2024-12-20-01.41.44.733000
1425;DB2_0014_Master_FailureCode_FailureList_CLEAN;1077;FAILURECODE (NEW);MIGRATED;CNT=4115;2024-12-20-01.42.16.029000
1426;DB2_0014_Master_FailureCode_FailureList_CLEAN;1077;FAILURELIST (PROBLEM);MIGRATED;CNT=8936;2024-12-20-01.42.25.202000
1427;DB2_0014_Master_FailureCode_FailureList_CLEAN;1077;FAILURELIST (CAUSE);MIGRATED;CNT=20387;2024-12-20-01.43.27.092000
1428;DB2_0014_Master_FailureCode_FailureList_CLEAN;1077;FAILURELIST (REMEDY);MIGRATED;CNT=31529;2024-12-20-01.43.47.143000
1429;DB2_0015_Misc_Meter_CLEAN;1078;METER;MIGRATED;CNT=46544;2024-12-20-01.46.09.461000
1430;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;COMPMASTER (SUPPLIER_);MIGRATED;CNT=4882;2024-12-20-01.47.00.646000
1431;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;COMPMASTER (DIR_SUPP);MIGRATED;CNT=24;2024-12-20-01.47.07.980000
1432;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;COMPMASTER (DIR_MANF);MIGRATED;CNT=59;2024-12-20-01.47.11.955000
1433;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;COMPMASTER (DIR_SUBC);MIGRATED;CNT=1;2024-12-20-01.47.15.247000
1434;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;CONTACT (SUPPLIER_);MIGRATED;CNT=4773;2024-12-20-01.47.17.669000
1435;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;TECH-CONTACT (SUPPLIER_);MIGRATED;CNT=32;2024-12-20-01.47.23.105000
1436;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;CONTACT (DIR_SUPP);MIGRATED;CNT=20;2024-12-20-01.47.25.440000
1437;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;TECH-CONTACT (DIR_SUPP);MIGRATED;CNT=0;2024-12-20-01.47.27.737000
1438;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;CONTACT (DIR_MANF);MIGRATED;CNT=79;2024-12-20-01.47.31.199000
1439;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;TECH-CONTACT (DIR_MANF);MIGRATED;CNT=0;2024-12-20-01.47.34.574000
1440;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;CONTACT (DIR_SUBC);MIGRATED;CNT=0;2024-12-20-01.47.36.888000
1441;DB2_0016_Master_CompMaster_CompContactMstr_CLEAN;1079;TECH-CONTACT (DIR_SUBC);MIGRATED;CNT=0;2024-12-20-01.47.39.203000
1442;DB2_0018_Master_Supplier_History_CLEAN;1082;LOG;MIGRATED;CNT=4882;2024-12-20-01.48.07.171000
1444;DB2_0019_Misc_Address_CLEAN;1083;PO-SHIPPING;MIGRATED;CNT=1;2024-12-20-01.48.18.323000
1445;DB2_0019_Misc_Address_CLEAN;1083;PO-BILLING;MIGRATED;CNT=1;2024-12-20-01.48.20.592000
1446;DB2_0020_Master_MeasureUnit_Conversion_CLEAN;1084;UNITS;MIGRATED;CNT=156;2024-12-20-01.48.30.702000
1447;DB2_0020_Master_MeasureUnit_Conversion_CLEAN;1084;DIR_METER;MIGRATED;CNT=4;2024-12-20-01.48.32.979000
1448;DB2_0020_Master_MeasureUnit_Conversion_CLEAN;1084;CONVERSION;MIGRATED;CNT=260;2024-12-20-01.48.35.635000
1449;DB2_0021_Master_Commodities_CLEAN;1085;ITEM_GRP;MIGRATED;CNT=137;2024-12-20-01.48.51.142000
1450;DB2_0021_Master_Commodities_CLEAN;1085;ITEM_;MIGRATED;CNT=0;2024-12-20-01.48.54.217000
1451;DB2_0021_Master_Commodities_CLEAN;1085;NSITEM;MIGRATED;CNT=0;2024-12-20-01.48.57.426000
1452;DB2_0021_Master_Commodities_CLEAN;1085;DIR_STOCK;MIGRATED;CNT=30;2024-12-20-01.49.00.870000
1349;DB2_0051_Master_Person_CLEAN;1046;WIN_USER;MIGRATED;CNT=2132;2024-12-19-23.50.34.508000
1351;DB2_0051_Master_Person_CLEAN;1046;RES_EMPL (ACTIVE);MIGRATED;CNT=649;2024-12-19-23.50.42.139000
1352;DB2_0051_Master_Person_CLEAN;1046;RES_EMPL (INACTIVE);MIGRATED;CNT=280;2024-12-19-23.50.46.856000
1353;DB2_0051_Master_Person_CLEAN;1046;PERSONANCESTOR;MIGRATED;CNT=3073;2024-12-19-23.51.03.731000
1356;DB2_0052_Master_Craft_CraftSkill_CLEAN;1047;CRAFT;MIGRATED;CNT=345;2024-12-19-23.51.18.577000
1358;DB2_0052_Master_Craft_CraftSkill_CLEAN;1047;CRAFTSKILL;MIGRATED;CNT=345;2024-12-19-23.51.24.574000
1359;DB2_0052_Master_Craft_CraftSkill_CLEAN;1047;CRAFTRATE;MIGRATED;CNT=345;2024-12-19-23.51.28.114000
1360;DB2_0053_Master_PersonGroup_CLEAN;1048;MAINT-ENTITY;MIGRATED;CNT=37;2024-12-19-23.51.50.972000
1361;DB2_0053_Master_PersonGroup_CLEAN;1048;GROUP_USER;MIGRATED;CNT=122;2024-12-19-23.51.54.616000
1362;DB2_0053_Master_PersonGroup_CLEAN;1048;RES_EMPL;MIGRATED;CNT=3;2024-12-19-23.51.58.525000
1363;DB2_0053_Master_PersonGroup_CLEAN;1048;COH_ENTITY;MIGRATED;CNT=35;2024-12-19-23.52.04.833000
1364;DB2_0053_Master_PersonGroup_CLEAN;1048;RES_TRADE;MIGRATED;CNT=345;2024-12-19-23.52.08.384000
1365;DB2_0054_Master_PersonGroupTeam_CLEAN;1049;GROUP_USERS;MIGRATED;CNT=2209;2024-12-19-23.52.23.237000
1366;DB2_0054_Master_PersonGroupTeam_CLEAN;1049;AUTHORITY;MIGRATED;CNT=3295;2024-12-19-23.52.27.641000
1367;DB2_0054_Master_PersonGroupTeam_CLEAN;1049;TRADE;MIGRATED;CNT=2786;2024-12-19-23.52.33.268000
1368;DB2_0055_Master_Labor_CLEAN;1050;LABOR;NOMATCH-PERSON;CNT=0;2024-12-19-23.52.46.614000
1369;DB2_0055_Master_Labor_CLEAN;1050;LABOR;MIGRATED;CNT=2786;2024-12-19-23.52.46.624000
1370;DB2_0056_Master_AMCrewType_AMCrew_AMCrewLabor_CLEA;1051;AMCREW (EMPL);MIGRATED;CNT=210;2024-12-19-23.53.17.301000
1371;DB2_0056_Master_AMCrewType_AMCrew_AMCrewLabor_CLEA;1051;AMCREW (CRAFT);MIGRATED;CNT=345;2024-12-19-23.53.22.172000
1372;DB2_0056_Master_AMCrewType_AMCrew_AMCrewLabor_CLEA;1051;AMCREWLABOR;MIGRATED;CNT=2790;2024-12-19-23.53.26.894000
1373;DB2_0057_Misc_Qualification_CLEAN;1052;QUALIFICATION;MIGRATED;CNT=30;2024-12-19-23.53.35.733000
1374;DB2_0058_Misc_PPCraftRate_CLEAN;1053;PPCRAFTRATE;MIGRATED;CNT=3450;2024-12-19-23.53.42.592000
1375;DB2_0059_Misc_LaborQual_CLEAN;1054;LABORQUAL;MIGRATED;CNT=237;2024-12-19-23.53.52.938000
1376;DB2_0060_Misc_Attendance_CLEAN;1055;ATTENDANCE;MIGRATED;CNT=45;2024-12-19-23.54.00.311000
1377;DB2_0061_Misc_Shift_ShiftPatternDay_CLEAN;1056;SHIFT;MIGRATED;CNT=6;2024-12-19-23.54.09.391000
1378;DB2_0061_Misc_Shift_ShiftPatternDay_CLEAN;1056;SHIFTPATTERNDAY;MIGRATED;CNT=42;2024-12-19-23.54.12.506000
1379;DB2_0062_Misc_WorkType_CLEAN;1057;WORKTYPE;MIGRATED;CNT=25;2024-12-19-23.54.22.204000
1380;DB2_0063_Misc_JobPlan_JPAssetsPLink_JobTask_CLEAN;1058;LOG;JOBPLAN-MAINTENTITY-NOMATCH;CNT= 20787;2024-12-19-23.54.44.589000
1381;DB2_0063_Misc_JobPlan_JPAssetsPLink_JobTask_CLEAN;1058;JOBPLAN;MIGRATED;CNT=21163;2024-12-19-23.54.44.745000
1382;DB2_0063_Misc_JobPlan_JPAssetsPLink_JobTask_CLEAN;1058;JPASSETSPLINK;MIGRATED;CNT=82924;2024-12-19-23.55.56.044000
1383;DB2_0063_Misc_JobPlan_JPAssetsPLink_JobTask_CLEAN;1058;JPASSETSPLINK;NOMATCH-JOBPLAN;CNT=0;2024-12-19-23.55.56.051000
1384;DB2_0063_Misc_JobPlan_JPAssetsPLink_JobTask_CLEAN;1058;JOBTASK;NOMATCH-JOBPLAN;CNT=0;2024-12-19-23.56.29.217000
1385;DB2_0063_Misc_JobPlan_JPAssetsPLink_JobTask_CLEAN;1058;JOBTASK;MIGRATED;CNT=27104;2024-12-19-23.56.29.209000
1386;DB2_0064_Misc_JobLabor_CLEAN;1059;JOBLABOR;MIGRATED;CNT=0;2024-12-19-23.57.02.938000
1387;DB2_0064_Misc_JobLabor_CLEAN;1059;JOBMATERIAL;NOMATCH-JOBPLAN;CNT=0;2024-12-19-23.57.02.945000
1388;DB2_0065_Misc_JobMaterial_CLEAN;1060;NOMATCH-JP;LOG;CNT=0;2024-12-20-00.57.17.188930
1389;DB2_0065_Misc_JobMaterial_CLEAN;1060;NOMATCH-JP;LOG;CNT=2560;2024-12-20-00.57.17.192366
1390;DB2_0065_Misc_JobMaterial_CLEAN;1060;JOBMATERIAL;MIGRATED;CNT=2560;2024-12-19-23.57.17.282000
1391;DB2_0066_Misc_PM_PMMeter_PMSeasons_CLEAN;1061;LOG;JOBPLAN-MAINTENTITY-NOMATCH;CNT= 0;2024-12-19-23.57.49.286000
1392;DB2_0066_Misc_PM_PMMeter_PMSeasons_CLEAN;1061;PM;MIGRATED;CNT=32096;2024-12-19-23.57.55.835000
1393;DB2_0066_Misc_PM_PMMeter_PMSeasons_CLEAN;1061;PMMETER;NOMATCH-PM;CNT=0;2024-12-19-23.58.53.265000
1394;DB2_0066_Misc_PM_PMMeter_PMSeasons_CLEAN;1061;PMMETER;MIGRATED;CNT=292;2024-12-19-23.58.53.283000
1395;DB2_0066_Misc_PM_PMMeter_PMSeasons_CLEAN;1061;PMSEASONS;MIGRATED;CNT=32096;2024-12-19-23.59.21.546000
1396;DB2_0066_Misc_PM_PMMeter_PMSeasons_CLEAN;1061;PMSEASONS;NOMATCH-PM;CNT=0;2024-12-19-23.59.21.554000
1397;DB2_0067_Misc_Currency_CLEAN;1062;CURRENCY;MIGRATED;CNT=9;2024-12-20-00.00.15.949000
1398;DB2_0068_Misc_Exchange_CLEAN;1063;EXCHANGE;MIGRATED;CNT=26;2024-12-20-00.00.23.753000
1457;DB2_0101_Asset_Asset_PLUSTASSETALIAS_CLEAN;1087;LOG;ASSET-AUTHORITY-NOMATCH;CNT= 0;2024-12-20-02.01.46.010000
1459;DB2_0101_Asset_Asset_PLUSTASSETALIAS_CLEAN;1087;LOG;ASSET-COSTCENTER-NOMATCH;CNT= 0;2024-12-20-02.03.50.823000
1461;DB2_0101_Asset_Asset_PLUSTASSETALIAS_CLEAN;1087;ASSET;MIGRATED;CNT=241485;2024-12-20-02.05.54.867000
1466;DB2_0101_Asset_Asset_PLUSTASSETALIAS_CLEAN;1096;LOG;ASSET-AUTHORITY-NOMATCH;CNT= 0;2024-12-20-02.19.33.778000
1467;DB2_0101_Asset_Asset_PLUSTASSETALIAS_CLEAN;1096;LOG;ASSET-COSTCENTER-NOMATCH;CNT= 0;2024-12-20-02.21.18.236000
1469;DB2_0101_Asset_Asset_PLUSTASSETALIAS_CLEAN;1096;ASSET;MIGRATED;CNT=241485;2024-12-20-02.23.23.840000
1470;DB2_0102_Asset_AssetLocUserCust_CLEAN;1101;ASSETLOCUSERCUST;MIGRATED;CNT=6;2024-12-20-02.27.05.120000
1488;DB2_0103_Asset_AssetMeter_CLEAN;1111;METERREADING;NOMATCH-ASSET;CNT=0;2024-12-20-03.01.46.036000
1489;DB2_0103_Asset_AssetMeter_CLEAN;1111;METERREADING;NOMATCH-TRAIN;CNT=0;2024-12-20-03.01.46.458000
1490;DB2_0103_Asset_AssetMeter_CLEAN;1111;ASSETMETER;MIGRATED;CNT=21727;2024-12-20-03.01.46.567000
1474;DB2_0104_Asset_STE_CSWNASSETSLHIST_CLEAN;1104;CSWNASSETSLHIST;MIGRATED;CNT=125909;2024-12-20-02.30.43.439000
1476;DB2_0105_Asset_AssetTrans_CLEAN;1105;ASSETTRANS;NOMATCH-ASSET;CNT=0;2024-12-20-02.43.45.313000
1477;DB2_0105_Asset_AssetTrans_CLEAN;1105;ASSETTRANS;MIGRATED;CNT=485433;2024-12-20-02.43.45.328000
1478;DB2_0106_Asset_AssetSpec_CLEAN;1106;EQPT_TECH;MIGRATED;CNT=7;2024-12-20-02.44.41.171000
1479;DB2_0106_Asset_AssetSpec_CLEAN;1106;ITEM;MIGRATED;CNT=392;2024-12-20-02.44.44.624000
1480;DB2_0107_Asset_SpareParts_CLEAN;1107;SPAREPARTS;MIGRATED;CNT=11324;2024-12-20-02.44.51.515000
1483;DB2_0108_Asset_RouteStop_CLEAN;1108;ROUTE_STOP;MIGRATED;CNT=133122;2024-12-20-02.46.56.873000
1485;DB2_0109_Asset_AssetAncestor_CLEAN;1109;ASSETANCESTOR;MIGRATED;CNT=625273;2024-12-20-02.57.36.038000
1486;DB2_0111_Asset_TLOAMASSETGRP_CLEAN;1110;LOG;ASSET-MAINTENTITY-NOMATCH;CNT= 25;2024-12-20-03.00.29.880000
1487;DB2_0111_Asset_TLOAMASSETGRP_CLEAN;1110;TLOAMASSETGRP;MIGRATED;CNT=250571;2024-12-20-03.01.07.599000
1491;DB2_0112_Asset_MeterReading_CLEAN;1112;INITIALREADING;NOMATCH-ASSET;CNT=0;2024-12-20-03.02.30.879000
1492;DB2_0112_Asset_MeterReading_CLEAN;1112;METERREADING;NOMATCH-TRAIN;CNT=0;2024-12-20-03.02.31.004000
1493;DB2_0112_Asset_MeterReading_CLEAN;1112;METERREADING;MIGRATED;CNT=21677;2024-12-20-03.02.31.364000
1494;DB2_0112_Asset_MeterReading_CLEAN;1112;METERREADING;NOMATCH-ASSET;CNT=0;2024-12-20-03.03.00.348000
1495;DB2_0112_Asset_MeterReading_CLEAN;1112;METERREADING;NOMATCH-TRAIN;CNT=0;2024-12-20-03.03.00.707000
1496;DB2_0112_Asset_MeterReading_CLEAN;1112;METERREADING;MIGRATED;CNT=57788;2024-12-20-03.03.20.535000
1501;DB2_0112_Asset_MeterReading_CLEAN;1115;INITIALREADING;NOMATCH-ASSET;CNT=0;2024-12-20-03.52.44.151000
1502;DB2_0112_Asset_MeterReading_CLEAN;1115;METERREADING;NOMATCH-TRAIN;CNT=0;2024-12-20-03.52.44.261000
1503;DB2_0112_Asset_MeterReading_CLEAN;1115;METERREADING;MIGRATED;CNT=21677;2024-12-20-03.52.44.606000
1504;DB2_0112_Asset_MeterReading_CLEAN;1115;METERREADING;NOMATCH-ASSET;CNT=0;2024-12-20-03.53.16.161000
1505;DB2_0112_Asset_MeterReading_CLEAN;1115;METERREADING;NOMATCH-TRAIN;CNT=0;2024-12-20-03.53.16.301000
1507;DB2_0112_Asset_MeterReading_CLEAN;1115;METERREADING;MIGRATED;CNT=57788;2024-12-20-03.53.35.707000
1508;DB2_0201_Inventory_Inventory_CLEAN;1116;INVENTORY;MIGRATED;CNT=28543;2024-12-20-03.55.53.286000
1509;DB2_0201_Inventory_Inventory_CLEAN;1116;INVENTORY;NOMATCH-ITEM;CNT=0;2024-12-20-03.55.53.286000
1510;DB2_0202_Inventory_InvVendor_CLEAN;1117;INVVENDOR;MIGRATED;CNT=108196;2024-12-20-03.57.50.030000
1511;DB2_0203_Inventory_InvBalances_CLEAN;1118;INVBALANCES;MIGRATED;CNT=29767;2024-12-20-03.58.45.618000
1512;DB2_0203_Inventory_InvBalances_CLEAN;1118;INVLOT;MIGRATED;CNT=28643;2024-12-20-03.59.16.020000
1513;DB2_0204_Inventory_InvCost_CLEAN;1119;INVCOST;MIGRATED;CNT=28543;2024-12-20-03.59.53.203000
1515;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MR;NOMATCH-REQBY;CNT= 4702;2024-12-20-04.00.43.281000
1516;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MR;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.00.43.656000
1517;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MR;MIGRATED;CNT=72952;2024-12-20-04.01.26.360000
1518;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MRLINE;NOMATCH-ITEM;CNT= 0;2024-12-20-04.02.16.530000
1519;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MRLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.02.16.952000
1520;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MRLINE;MIGRATED;CNT=146640;2024-12-20-04.04.13.940000
1521;DB2_0206_Inventory_InvTrans;1121;INVTRANS;NOMATCH-ITEM;CNT=0;2024-12-20-04.05.14.957000
1522;DB2_0206_Inventory_InvTrans;1121;LOG;ASSET-COSTCENTER-NOMATCH;CNT= 0;2024-12-20-04.05.15.211000
1523;DB2_0206_Inventory_InvTrans;1121;INVTRANS;MIGRATED;CNT=30314;2024-12-20-04.05.15.592000
1524;DB2_0301_PO_Contract_ContractLine_CLEAN;1122;CONTRACT;MIGRATED;CNT=98;2024-12-20-04.06.01.490000
1525;DB2_0301_PO_Contract_ContractLine_CLEAN;1122;CONTRACTLINE;MIGRATED;CNT=388;2024-12-20-04.06.08.418000
1526;DB2_0301_PO_Contract_ContractLine_CLEAN;1122;CONTRACTLINE;NOMATCH-ITEM;CNT=0;2024-12-20-04.06.08.423000
